Genre,total_m,m_comments,m_ratio,total_comments,m_per_comment,m_per_comment_l95,unique_albums,m_per_l95_rank
Industrial,353,269,1.312267657992565,7172,0.04921918572225321,0.04512589613784242,14,1
Thrash Metal,2723,2329,1.1691713181623014,70405,0.03867623038136496,0.037490110478360414,113,2
Death Metal,4088,3378,1.2101835405565424,121548,0.03363280350149735,0.0327871705493885,144,3
Hard Rock,621,568,1.0933098591549295,18210,0.03410214168039539,0.03193273958960825,44,4
Heavy Metal,1846,1701,1.085243974132863,58836,0.03137534842613366,0.03020515403597716,104,5
Grind,305,263,1.1596958174904943,9752,0.03127563576702215,0.02845956494729172,17,6
Gothic,108,102,1.0588235294117647,3423,0.03155127081507449,0.026876583860906786,19,7
Stoner Rock,192,180,1.0666666666666667,6474,0.029657089898053754,0.02631614679540941,15,8
Doom Metal,945,845,1.1183431952662721,34900,0.027077363896848138,0.025670275935281043,64,9
Melodic Death Metal,566,511,1.1076320939334638,20673,0.02737870652541963,0.025550375815186793,42,10
Black Metal,1515,1367,1.1082662765179225,62907,0.02408317039439172,0.023089465238058958,97,11
Folk,437,391,1.1176470588235294,19957,0.021897078719246378,0.02023397550699191,33,12
Metal,1888,1783,1.0588895120583286,90661,0.02082483096369994,0.020052701503173474,115,13
Experimental,821,676,1.2144970414201184,38992,0.02105560114895363,0.019879865475271114,54,14
Progressive Metal,3286,2818,1.1660752306600426,164501,0.01997556245858688,0.01941211866383539,206,15
Power Metal,199,189,1.052910052910053,9189,0.021656328218522147,0.01924948455441298,44,16
Ambient,183,171,1.0701754385964912,8764,0.020880876312186217,0.018464033514629042,17,17
Sludge Metal,555,494,1.1234817813765183,35977,0.015426522500486421,0.01438049696120465,43,18
Psychedelic,103,102,1.0098039215686274,6557,0.015708403233185907,0.013311243214601509,18,19
Post Metal,693,596,1.162751677852349,50658,0.01367997157408504,0.012847054577194357,43,20
Progressive Rock,455,410,1.1097560975609757,38973,0.011674749185333436,0.01080109852886195,55,21
Punk,345,310,1.1129032258064515,33091,0.010425795533528754,0.009532818295690387,24,22
Post Rock,98,85,1.1529411764705881,8718,0.011241110346409728,0.009481319234799203,16,23
Hardcore,597,536,1.1138059701492538,60944,0.009795878183250197,0.009153178323235811,52,24
Metalcore,537,491,1.0936863543788187,78102,0.006875624183759699,0.006399938788039028,48,25
Alternative Rock,234,230,1.017391304347826,38952,0.006007393715341959,0.005385395964452103,30,26
Funk,21,21,1,4270,0.004918032786885246,0.0033430877124271917,12,27
Nu-metal,73,72,1.0138888888888888,20039,0.003642896352113379,0.002985516983898069,17,28
Post Hardcore,53,47,1.127659574468085,14979,0.0035382869350423928,0.00279669595239931,14,29
